wavelength_nm,extinction_coefficient
300,13488.00495
302,12125.24115
304,11059.43008
306,10316.56216
308,9697.2048
310,9255.674018
312,8937.694803
314,8596.453998
316,8377.672502
318,8116.193595
320,7859.613567
322,7440.065357
324,7342.745302
326,7182.410207
328,7054.119665
330,6854.112907
332,6675.735182
334,6533.228728
336,6432.419629
338,6366.941687
340,6306.363857
342,6265.879294
344,6261.179796
346,6269.197938
348,6295.47119
350,6362.858802
352,6414.834937
354,6523.47627
356,6630.954758
358,6773.900498
360,6916.507614
362,7070.105033
364,7282.370124
366,7451.769512
368,7773.777359
370,8029.975966
372,8344.604081
374,8697.521173
376,9017.924868
378,9344.139898
380,9748.35933
382,10219.8059
384,10689.71777
386,11170.06974
388,11693.30182
390,12363.39683
392,12882.96436
394,13399.69709
396,14030.36509
398,14714.85887
400,15278.45057
402,16095.04758
404,16784.53929
406,17581.38128
408,18364.69387
410,19328.35882
412,20406.7109
414,21421.97349
416,22537.97464
418,23544.68941
420,24795.7169
422,25548.04418
424,26778.83763
426,27403.07913
428,28721.37193
430,30395.24732
432,31684.32065
434,33063.49159
436,34241.85548
438,36008.76136
440,37364.50358
442,38617.62949
444,40091.96246
446,41795.78044
448,43255.56312
450,44317.75303
452,46301.09525
454,47276.92133
456,48868.41336
458,50048.92861
460,50998.65304
462,52266.82848
464,52869.80308
466,53787.20736
468,54344.47855
470,54632.6035
472,54777.72492
474,54885.79641
476,54417.51961
478,53660.54895
480,52926.22341
482,51456.65619
484,50042.59799
486,48517.59113
488,45945.99437
490,43588.44924
492,40768.11595
494,37885.18032
496,34661.78109
498,32259.61197
500,27685.29068
502,24287.83107
504,22322.30947
506,18858.41029
508,16425.35275
510,14170.07718
512,11914.7576
514,9991.918746
516,8459.403087
518,6756.047767
520,5996.820658
522,4519.267229
524,3567.40166
526,2873.526802
528,2463.753395
530,2039.124819
532,1657.863544
534,1332.848766
536,1108.721054
538,905.7216061
540,709.5894938
542,579.3535535
544,490.5170226
546,445.2830012
548,347.0527105
550,296.8811839
