lambda,extinction_coefficient
320,59184.56277
322,61793.04965
324,65081.95904
326,67805.85177
328,69946.01786
330,73739.34675
332,77611.22895
334,81533.92541
336,84517.37168
338,88280.00575
340,91647.52512
342,95077.07039
344,97641.37069
346,99968.37829
348,103069.1216
350,105695.9345
352,107646.4544
354,111411.4664
356,113569.3745
358,115863.1492
360,117687.5352
362,119983.4215
364,122355.3266
366,125417.3207
368,129281.3203
370,133423.883
372,139178.5361
374,146039.2705
376,153941.6076
378,163614.3042
380,175302.2514
382,188057.3703
384,204704.7396
386,217807.709
388,235207.0756
390,260268.0892
392,282522.3044
394,312452.1469
396,344916.8067
398,368389.9105
400,410610.6059
402,457146.0938
404,480364.3402
406,496570.4389
408,483091.3342
410,446031.5824
412,401835.2724
414,358885.5491
416,314506.0292
418,278167.4809
420,246369.9585
422,215120.7734
424,182408.7761
426,172382.3539
428,141274.4615
430,117562.3066
432,96806.17724
434,84938.4378
436,74465.02034
438,66309.041
440,59781.76458
442,54111.80156
444,50108.9182
446,45066.8072
448,42457.09632
450,40881.84572
452,38532.12585
454,36391.85079
456,34746.78511
458,33523.57287
460,32578.0335
462,31206.19383
464,30721.14353
466,29711.92724
468,29054.1663
470,28434.19881
472,27910.87866
474,27481.08774
476,27231.9464
478,27075.96128
480,27090.51665
482,27095.43982
484,27198.81127
486,27312.08023
488,27459.28105
490,27625.11093
492,27799.51386
494,27931.67909
496,28018.32596
498,28058.39465
500,27973.17692
502,27832.59467
504,27570.32685
506,27293.02771
508,26967.29536
510,26601.65554
512,26248.40107
514,25968.08228
516,25801.14373
518,25719.5232
520,25809.18809
522,26132.11433
524,26860.43067
526,27392.7985
528,28085.01915
530,28889.60827
532,29944.60785
534,30702.14273
536,31210.00241
538,31517.05204
540,31475.87181
542,30990.768
544,30157.43756
546,29452.30528
548,27099.24971
550,25633.35367
552,23690.18956
554,22254.51626
556,21228.09857
558,20436.37199
560,19873.93821
562,19888.9687
564,20264.50708
566,20983.87822
568,22161.46611
570,23496.2526
572,24766.30892
574,25848.46172
576,26335.94764
578,25872.22769
580,24369.06908
582,22100.4378
584,18879.64871
586,16097.91229
588,13992.25259
590,12700.60173
592,10838.63031
594,9639.025455
596,8956.599891
598,8528.607548
600,8141.160766
602,7920.54811
604,7820.774684
606,7773.349184
608,7792.721891
610,7838.930725
612,7943.889598
614,8143.806508
616,8364.313326
618,8600.43287
620,8873.287742
622,9117.242107
624,9344.365119
626,9479.653467
628,9621.664176
630,9648.976125
632,9608.167998
634,9367.336806
636,9019.850761
638,8580.901844
640,8149.999127
642,7155.233993
644,6530.447385
646,5701.829069
648,4918.624452
650,4484.492866
652,3707.215547
654,3227.458669
656,2815.821756
658,2368.563161
660,2031.559012
662,1790.832725
664,1530.258386
666,1348.867566
668,1240.307957
670,1086.123353
672,971.0534604
674,906.531605
676,852.2256523
678,796.3848412
680,742.4485342
682,715.1370745
684,698.0404026
686,684.9141759
688,639.2886423
690,622.191972
692,613.0352608
694,593.2925297
696,593.2919066
698,594.7209649
700,575.8253541
702,596.4151556
704,584.1350128
706,582.9180916
708,588.1046806
710,604.8308515
712,623.3568378
714,618.540128
716,618.540128
718,630.4488851
720,638.8649616
722,652.3623273
724,662.2070977
726,675.7039684
728,696.3998072
730,702.9100487
732,745.5184678
734,749.9647285
736,779.3409708
738,801.2541273
740,816.2859202
742,811.4697704
744,799.8250305
746,814.8571533
748,831.9531896
750,821.3670157
752,830.0482518
754,838.83445
756,862.5472363
758,852.7020795
760,914.6833336
762,914.3125079
764,944.9063752
766,921.5640379
768,934.6902585
770,951.7867523
772,966.8191145
774,980.3161646
776,970.1012162
778,1002.229241
780,1015.355609
782,1041.132623
784,1061.351658
786,1069.662496
788,1074.848851
790,1090.145862
792,1096.762221
794,1155.990612
796,1167.794332
798,1161.548475
800,1191.771368
802,1215.483532
804,1233.427489
806,1257.139954
808,1260.73879
810,1297.948698
812,1302.765731
814,1343.204037
816,1333.46487
818,1403.862006
820,1471.612022
822,1502.576334
824,1579.589683
826,1506.334403
828,1472.512592
830,1552.912435
832,1583.135683
834,1619.233654
836,1598.909194
838,1689.895428
840,1686.666631
842,1674.757641
844,1643.370177
846,1732.292378
848,1777.547407
850,1777.54726
852,1784.163754
854,1814.387105
856,1824.602384
858,1838.470196
860,1865.04095
862,1872.398261
864,1887.059318
866,1949.040812
868,1957.720523
870,1897.910374
872,1989.849621
874,2002.129764
876,2042.568264
878,1997.68388
880,2233.645237
882,2170.976907
884,2049.448647
886,2119.104217
888,2163.989959
890,2227.770189
892,2450.605327
894,2213.319754
896,2257.251609
898,2290.598272
900,2302.50647
902,2279.536198
904,2317.909748
906,2376.873077
908,2188.072509
910,2355.807458
912,2294.832253
914,2429.698103
916,2432.820042
918,2353.901718
920,2480.828355
922,2588.276296
924,2579.966148
926,2684.44996
928,2705.88605
930,2835.354361
932,2947.617254
934,3015.632627
936,2872.457361
938,3081.106988
940,3313.258167
942,3131.919835
944,3273.93037
946,3618.452421
948,4021.091125
950,3819.955327
952,3957.732506
954,4125.257403
956,4358.995315
958,4548.432431
960,4641.694088
962,4726.542283
964,4787.675924
966,4819.698069
968,4884.907397
970,4847.117298
972,4887.765648
974,4887.766255
976,4907.985259
978,4894.117424
980,4870.405646
982,4836.584014
984,4729.92826
986,4722.20043
988,4709.444088
990,4698.911869
992,4616.976394
994,4584.003936
996,4460.886716
998,4402.133443
1000,4323.849702
